	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Domesticated	Template	Target
136	0.816404486	0.747641198	0.870066132	0.681157888	0.456789261	0.867997578	0.95473965	0.200383456	0.458681804	0.69840305	0.666767651	0.705926093	3.483193503	-3.483193503	-0.345062727	-0.998337856	0.69251418	-0.586735636	0.419285615	-0.586313002	-0.210070043	-0.286919038	0.135635686	-0.527444644	0.065801235	ECU	Domesticated	filtered_NewRunLP47_tclust	filtered_NewRunLP87_tclust
137	1.154489138	0.543210087	0.681669665	0.632433971	0.831249703	0.569396071	0.618670777	0.229859905	0.546622255	0.605303332	0.529248149	0.64272119	2.878631479	-2.878631479	-1.38398002	0.266696027	-0.264094165	-0.411754684	-0.417034233	0.497585871	0.06339293	-0.097321536	0.011547817	-0.031358314	-0.099629971	ECU	Domesticated	filtered_NewRunLP47_tclust	filtered_NewRunPU167_tclust
138	0.946648605	0.774837913	0.866160354	0.754555836	0.845633224	0.886497407	0.896999428	0.685953073	0.73038335	0.724086653	0.793979568	0.722415718	4.724273781	-4.724273781	-0.25777797	-0.141611804	0.304074634	0.206614387	0.1074368	0.203955531	-0.035679314	0.015530399	0.083959635	-0.130231841	0.053083702	ECU	Domesticated	filtered_NewRunLP47_tclust	filtered_NewRunPU170_tclust
139	1.165273165	0.58445596	0.738803763	0.59505027	0.70173761	0.660988356	0.641765105	0.077023448	0.461391181	0.570248263	0.386977546	0.727373406	2.674918618	-2.674918618	-1.562906185	-0.036142559	-0.15009606	-0.786607221	-0.194477892	0.233593672	-0.03735956	-0.41158773	0.341128241	-0.154982618	0.260339732	ECU	Domesticated	filtered_NewRunLP47_tclust	filtered_SameEarlierALP68_tclust
140	0.886831272	0.592526805	0.747479706	0.682390585	0.495433847	0.659604374	0.710840631	0.354193121	0.478577075	0.641430301	0.536888175	0.706600015	2.821868307	-2.821868307	-0.58910197	-0.05132711	0.282656812	-0.269577759	-0.04837488	-0.53759769	0.055061865	-0.341988117	0.181624328	-0.279434522	0.020063006	ECU	Domesticated	filtered_NewRunLP47_tclust	filtered_SameEarlierALP75_tclust
141	0.581842828	0.591325134	0.460227199	0.508670451	0.382298066	0.460516113	0.707455475	0.051131748	0.284534289	0.554917019	0.364879895	0.155710287	0.722231547	-0.722231547	0.040582263	-0.26388044	0.580474738	-0.602154328	0.425177714	-0.211822509	-0.149276968	0.710354277	-0.333583123	-0.251363246	-0.018775674	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_NewRunDP99_tclust
142	0.585259219	0.418371192	0.340518586	0.361442174	0.31357132	0.148719958	0.613557949	-0.048969529	0.09984438	0.388121911	0.195774814	0.288079786	-0.56590924	0.56590924	-0.309230061	0.28371032	0.793328005	-0.749322454	0.122110877	-0.067676471	-0.148911891	0.043235549	-0.124498699	-0.230359508	-0.392142478	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_NewRunLP47_tclust
143	0.576680159	0.67252784	0.575477729	0.549875939	0.68028502	0.67138925	0.880390775	0.28843364	0.451868816	0.649967284	0.452200239	0.459605014	2.345422248	-2.345422248	0.435950742	-0.218231426	0.725884452	-0.526182365	0.203411126	0.363669947	-0.285332269	0.214640103	-0.157199063	-0.303171949	0.227917181	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_NewRunLP74_tclust
144	0.671750312	0.731003771	0.722364101	0.721576436	0.738836024	0.706543979	0.705696439	0.581312656	0.665959874	0.730746847	0.667819776	0.586587884	3.472771997	-3.472771997	0.4446393	0.148592774	-0.006522728	0.023276891	0.08238458	-0.046523531	0.018293537	0.156835136	-0.057741383	-0.046149703	-0.056044259	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_NewRunLP85_tclust
145	0.432381024	0.460383168	0.586072544	0.494404202	0.439204966	0.669707556	0.525139756	0.224429492	0.417724562	0.528041767	0.55855416	0.286318673	1.159285905	-1.159285905	0.595759832	-0.590481598	-0.144393846	0.269176505	0.016893896	-0.301085276	-0.125982936	0.258152446	-0.09954103	-0.303995648	0.050658608	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_NewRunLP87_tclust
