	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	batch	Population	batchpop	Template	Target
14	0.437249051	0.043452163	0.088253188	0.157600554	0.237626396	-0.0399077	0.400035511	0.236844436	-0.069361925	0.049373607	-0.129333363	-0.073945051	-2.817486113	2.817486113	-0.15948172	1.049643222	1.01691499	0.403155829	-0.209548048	0.351810045	0.181270075	0.430771015	0.111312559	-0.223088228	0.055498515	UIUC	TGG	UIUC-TGG	filtered_tgg1_tclust	filtered_tgg3_tclust
15	0.79711532	0.214610611	0.331675672	0.33332424	0.17350935	0.135460153	0.731617681	0.217767432	0.125414668	0.086853188	0.062636281	0.023567475	-1.068404825	1.068404825	-1.091357616	0.316826679	1.645422689	0.17965772	0.049876421	-0.007700056	0.32477279	0.627349485	0.231119518	-0.008318244	-0.029509163	UIUC	TGG	UIUC-TGG	filtered_tgg1_tclust	filtered_tgg4_tclust
16	0.091063744	0.057217329	0.084063008	0.098751364	-0.052993751	-0.136413812	0.320660962	0.198022295	-0.146875336	-0.108854804	-0.211307968	-0.235208509	-4.026308148	4.026308148	0.67782976	0.789165024	1.168756134	0.545878244	0.25063145	-0.225609783	0.328627448	0.506618171	0.392653679	-0.104634197	-0.071275248	UIUC	TGG	UIUC-TGG	filtered_tgg1_tclust	filtered_tgg5_tclust
17	0.0948313	0.0967336	0.135136396	0.197639319	-0.042721927	-0.11105887	0.216283581	0.164860622	-0.173639671	-0.199997672	-0.156926918	-0.058132364	-3.816977955	3.816977955	0.621001066	0.776344912	0.787327348	0.532437375	0.398094477	-0.356591828	0.643499006	-0.096376367	0.406718456	-0.015505723	-0.135434591	UIUC	TGG	UIUC-TGG	filtered_tgg2_tclust	filtered_tgg1_tclust
18	0.111728973	-0.034846045	-0.078600826	0.019589714	0.236093196	-0.055964045	-0.063573537	0.067239403	-0.176219507	-0.00013356	-0.160975887	-0.012666947	-4.159153527	4.159153527	0.638494051	1.225241403	-0.299728355	0.545322606	-0.323435666	0.320413419	-0.093218054	-0.239985521	-0.037810542	-0.182248077	0.129712657	UIUC	TGG	UIUC-TGG	filtered_tgg2_tclust	filtered_tgg3_tclust
19	0.835629625	0.08785946	0.233745353	0.156175659	-0.033062849	0.226564965	0.262786465	-0.019186298	0.003002438	-0.073959409	0.1030833	-0.095390424	-2.495995347	2.495995347	-1.589720984	-0.026942027	0.348700418	0.751437413	0.132932494	-0.42314095	-0.011293403	0.396887301	0.187524295	0.090979323	0.165447403	UIUC	TGG	UIUC-TGG	filtered_tgg2_tclust	filtered_tgg4_tclust
20	-0.056261403	-0.216137411	-0.137772918	-0.152745309	-0.071540158	-0.065877107	0.046697426	0.076584696	-0.223731635	-0.163675564	-0.158478818	-0.16947549	-5.202562279	5.202562279	0.889420344	0.651358582	0.49600543	1.125275171	-0.391478232	-0.066286537	-0.316433896	-0.128576788	0.097899269	-0.18184368	0.106036516	UIUC	TGG	UIUC-TGG	filtered_tgg2_tclust	filtered_tgg5_tclust
21	0.453939725	0.347348394	0.361154238	0.359661797	0.561469058	0.224374166	0.423535559	0.347071756	0.181191189	0.408386011	0.236279227	0.294176533	-0.200853317	0.200853317	0.365129509	0.879484434	0.152745777	0.094159351	-0.154364836	0.386440942	-0.015660666	0.043385061	0.02365575	-0.338839625	-0.213275815	UIUC	TGG	UIUC-TGG	filtered_tgg3_tclust	filtered_tgg1_tclust
22	0.296811177	0.18821839	0.12329098	0.227431079	0.523814506	0.079374828	0.110134819	0.168239402	0.105456678	0.370467053	0.103297352	0.207595796	-1.754551866	1.754551866	0.615324599	1.23163763	-0.532711729	0.084813004	-0.520065464	0.429611916	-0.205175649	-0.072048506	-0.223457689	-0.192970276	-0.155227962	UIUC	TGG	UIUC-TGG	filtered_tgg3_tclust	filtered_tgg2_tclust
23	0.848038454	0.475199255	0.255931843	0.359750929	0.526469645	0.291066428	0.282227912	0.374471692	0.198816652	0.434122322	0.238668594	0.315397946	0.088262913	-0.088262913	-0.780294404	1.304447298	-0.308642153	0.152105256	0.135571906	0.18610051	-0.364567411	0.113422137	-0.197076358	-0.010592937	0.102512394	UIUC	TGG	UIUC-TGG	filtered_tgg3_tclust	filtered_tgg4_tclust
