	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Template	Target
46	0.542824751	0.21488851	0.091566913	0.137642694	0.143469753	0.139832591	0.180176243	-0.05096441	0.041970945	0.099247308	0.059135722	0.044890086	-2.515210825	2.515210825	-0.503216042	0.494267327	-0.019780851	0.195320514	0.067416757	-0.132982528	-0.338535569	0.095217487	-0.099434164	0.202420232	0.079020499	Timor	filtered_BR82_tclust	filtered_WH18_tclust
47	0.487300268	0.159769383	0.262912222	0.217242588	0.233257483	0.043631221	0.135350033	-0.058845815	0.104919192	0.191324104	0.001833656	-0.000153921	-2.374616394	2.374616394	-0.275053897	0.59805331	-0.291331723	-0.037503565	-0.260903069	-0.098210073	0.094226082	0.395301424	0.271833089	0.016833782	-0.163350867	Timor	filtered_BR82_tclust	filtered_YE182_tclust
48	0.380216278	0.381031685	0.30271	0.204895169	0.279167379	0.300366765	0.287683642	0.002114063	0.105709667	0.274866804	0.251367209	0.211734211	-1.251544795	1.251544795	0.255255778	0.099426523	-0.16647143	0.014791641	0.256827385	-0.101305242	-0.45232065	-0.122641973	0.023313199	-0.120860884	-0.128446817	Timor	filtered_BR82_tclust	filtered_YE188_tclust
49	0.525952581	0.502511765	0.425614569	0.48251006	0.508745097	0.413038291	0.468382468	0.393000688	0.390198344	0.395226496	0.376303842	0.497031995	0.874771771	-0.874771771	0.324017613	0.557410811	0.080811541	0.14306583	0.037705036	-0.024029516	-0.021526238	-0.327591171	-0.001629173	0.153187096	-0.036728857	Timor	filtered_BR82_tclust	filtered_YE189_tclust
50	0.336679054	0.220527246	0.219344411	0.102156236	0.379694544	0.226993168	0.039712253	-0.100775155	-0.025093904	0.132348066	0.033982256	0.034780759	-2.508799586	2.508799586	0.164589015	0.373712099	-0.765942152	0.121510067	0.081299885	0.434239473	-0.232962016	0.003632446	0.178707787	-0.227532269	0.156446805	Timor	filtered_BR82_tclust	filtered_YE41_tclust
51	0.24523904	0.026172462	0.10696523	0.10487258	0.067162246	0.076531527	-0.078745239	-0.549661304	-0.160451609	-0.154190588	-0.17057749	-0.163139093	-4.460820036	4.460820036	-0.129917135	-0.180071669	-0.702466309	-0.2005169	0.046667134	-0.003577631	0.315049219	-0.014738673	0.124493356	0.030652446	0.226510038	Timor	filtered_DP51LP79_tclust	filtered_BL65_tclust
52	0.098945859	0.176562112	0.064066482	0.182866993	0.268459512	0.142509795	0.042657114	-0.019665047	0.027444	0.026923726	0.075546732	0.090690349	-2.889967346	2.889967346	0.871473646	0.487667121	-0.458574003	0.354722764	0.015926009	0.127822548	0.022105727	-0.328176252	-0.189427341	0.160568923	0.043388313	Timor	filtered_DP51LP79_tclust	filtered_BR82_tclust
53	0.086732082	0.056144887	0.010800491	0.123016755	0.122955104	-0.014069469	0.001311681	-0.20956001	-0.191501353	-0.201684673	-0.143173609	-0.179711901	-4.40570723	4.40570723	0.510076422	0.381622719	-0.207844361	0.264735163	0.243502713	0.195936354	0.423921923	-0.004372643	-0.040416691	0.049110332	0.095007019	Timor	filtered_DP51LP79_tclust	filtered_DP77_tclust
54	0.08213043	0.080519295	0.017635479	0.158567099	0.103431705	0.063922695	0.107333606	-0.041616753	-0.07375973	-0.043982141	0.047126788	0.021457973	-3.480663656	3.480663656	0.743072776	0.388519351	0.022758331	0.462346139	0.011877062	-0.131707309	0.095886163	-0.29349434	-0.241687022	0.054347677	-0.054405586	Timor	filtered_DP51LP79_tclust	filtered_WH10_tclust
55	0.237604574	-0.333606945	0.010424944	0.097411603	-0.232517675	-0.08096529	-0.052193966	-0.99146887	-0.248642081	-0.494744596	0.112546754	-0.326691384	-5.887879648	5.887879648	-0.7337747	-1.423979466	-0.347974703	0.231228933	-0.377276775	-0.343658128	0.767182001	-0.19773849	-0.513554462	0.255856952	-0.60386037	Timor	filtered_DP51LP79_tclust	filtered_WH18_tclust
